Id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
322,13-03-2007,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,3
323,22-03-2007,Brisbane,Unknown,Unknown,Coastal Waters,Manly Marina,Sheen,Unknown
324,27-03-2007,Brisbane,Ship,Recreation,Coastal Waters,Redland Bay esplanade,Other,Unknown
325,28-04-2007,Brisbane,Unknown,Unknown,Coastal Waters,"Dockside Marina, Brisbane River",Diesel,Unknown
326,1-05-2007,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,50
327,2-05-2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Other,Unknown
328,6-05-2007,Brisbane,Ship,Recreation,Coastal Waters,"Horseshoe Bay, Peel Island",Diesel,Unknown
329,12-05-2007,Gold Coast,Ship,Recreation,Coastal Waters,"Paradise Point, Gold Coast",Petrol,700
330,13-05-2007,Brisbane,Land,N-A,Port,"Shell Terminal, Pinkenba, Brisbane River",Sheen,Unknown
331,16-05-2007,Brisbane,Unknown,Unknown,Port,"Fisherman Islands, Berth 8, Brisbane River",Sheen,Unknown
332,21-05-2007,Brisbane,Ship,Commercial,Port,"No16 beacon, Bar Cutting, Brisbane",Other - Hydraulic,7
333,21-05-2007,Brisbane,Unknown,Unknown,Port,"Snapper Creek, Tin Can Bay",Diesel,Unknown
334,23-05-2007,Brisbane,Land,N-A,Port,"Caltex Crude Berth, Fisherman Islands",Crude,0.2
335,26-05-2007,Mackay,Unknown,Unknown,Coastal Waters,"Abel Point Marina, Airlie Beach",Sheen,2
336,28-05-2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Sheen,Unknown
337,29-05-2007,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Bilge,10
338,30-05-2007,Mackay,Ship,Commercial,Coastal Waters,"Abel Point Marina, Airlie Beach",Bilge,20
339,8-06-2007,Gladstone,Ship,Defence,Port,"Auckland Point, Gladstone",Diesel,20
340,10-07-2007,Townsville,Ship,Trading,Port,"Berth 4, Townsville Port",Diesel,200
341,18-07-2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Yacht Club,Diesel,Unknown
342,22-07-2007,Townsville,Unknown,Unknown,Port,"Ross River, Townsville",Lube Oil,30
343,1-08-2007,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolaba, Browns Slipway",Diesel,Unknown
344,10-08-2007,Gladstone,Ship,Fishing,Port,"Snapper Creek, Tin Can Bay",Diesel,200
345,18-08-2007,Brisbane,Ship,Trading,Port,Brisbane Cruise Ship Terminal,Diesel,3
346,20-08-2007,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolaba, Debretts Wharf",Diesel,1
347,21-08-2007,Cairns,Unknown,Unknown,Coastal Waters,Coleman River,Diesel,Unknown
348,25-08-2007,Mackay,Unknown,Unknown,Coastal Waters,Seaward of Hay Point,Sheen,Unknown
349,26-08-2007,Brisbane,Ship,Recreational,Coastal Waters,Noosa River,Diesel,Unknown
350,31-08-2007,Mackay,Unknown,Unknown,Coastal Waters,"Armstrong Beach, Sarina",Other,Unknown
351,5-09-2007,Townsville,Ship,Commercial,Coastal Waters,Orpheus Island,Diesel,200
352,11-09-2007,Mackay,Ship,Fishing,GBRMP,"Swain Reef, - FV Jagger sunk",Diesel,7000
353,12-09-2007,Mackay,Ship,Recreational,GBRMP,7.5nm NE Mackay,Petrol,40
354,27-09-2007,Brisbane,Ship,Recreational,Coastal Waters,Wynnum Creek,Sheen,Unknown
355,30-09-2007,Cairns,Ship,Trading,Coastal Waters,Turtle Cove between Cairns and Port Douglas,HFO,Unknown
356,30-09-2007,Gladstone,Ship,Commercial,Coastal Waters,Urangan Boat Harbour,Bilge,Unknown
357,8-10-2007,Cairns,Unknown,Unknown,Port,"Weipa, Lorim Point",HFO,Unknown
358,18-10-2007,Brisbane,Unknown,Unknown,Coastal Waters,Brisbane River Town Reach,Sheen,Unknown
359,24-10-2007,Cairns,Unknown,Unknown,Coastal Waters,Mission Beach,Sheen,Unknown
360,27-10-2007,Brisbane,Unknown,Unknown,Coastal Waters,Raby Bay Marina,Sheen,Unknown
361,30-10-2007,Cairns,Ship,Commercial,Coastal Waters,Mission Beach,Diesel,Unknown
362,1-11-2007,Cairns,Unknown,Unknown,Port,Cooktowm,Diesel,Unknown
363,7-11-2007,Brisbane,Ship,Recreational,Coastal Waters,Mooloolaba,Diesel,Unknown
364,23-11-2007,Brisbane,Land,Land,Coastal Waters,Scarbrough Harbour,Diesel,Unknown
365,27-11-2007,Cairns,Unknown,Unknown,Coastal Waters,"Port Douglas, Marina Mirage",Diesel,Unknown
366,27-11-2007,Cairns,Ship,Commercial,GBRMP,Green Island and Norman Reef,Diesel,Unknown
367,27-11-2007,Cairns,Unknown,Unknown,Port,"Cairns, Tropical Reef Slipway",Sheen,Unknown
368,6-12-2007,Cairns,Ship,Commercial,Coastal Waters,"Cairns, Mulgrave River",Diesel,Unknown
369,27-12-2007,Cairns,Unknown,Unknown,Coastal Waters,"Maria Creek, Silkwood",Diesel,Unknown
370,1-01-2008,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Brisbane River",Diesel,100
371,14-01-2008,Mackay,Unknown,Unknown,Coastal Waters,"Pioneer River, Mackay",Sheen,Unknown
372,15-01-2008,Cairns,Ship,Naval,Port,"NQEA Slipway, Cairns",Diesel,10
373,16-01-2008,Mackay,Ship,Trading,Port,Hay Point Anchorage,Sheen,Unknown
374,21-01-2008,Brisbane,Ship,Recreational,Coastal Waters,Raby Bay Marina,Diesel,20
375,31-01-2008,Cairns,Ship,Commercial,Port,Cairns Berth 4-5,HFO,50
376,3-02-2008,Gladstone,Unknown,Unknown,Coastal Waters,"Hervey Bay Boat Club, Urangan",Sheen,Unknown
377,4-02-2008,Brisbane,Ship,Fishing,Coastal Waters,"One Mile anchorage , Stradbroke Island",Diesel,Unknown
378,4-02-2008,Gladstone,Ship,Fishing,Coastal Waters,Cassuarina creek,Diesel,Unknown
379,17-02-2008,Gladstone,Unknown,Unknown,Coastal Waters,"Snapper Creek, Tin Can Bay",Diesel,Unknown
380,8-03-2008,Brisbane,Ship,Fishing,Port,"Aquarium Passage, Brisbane",Diesel,5
381,14-03-2008,Mackay,Ship,Commercial,Coastal Waters,"Abel Point Marina, Airlie Beach",Bilge,25
382,19-03-2008,Cairns,Ship,Naval,Port,"HMAS Cairns, Cairns",Lube Oil,0.5
383,23-03-2008,Brisbane,Ship,Recreational,Coastal Waters,"Karragarra Island, Moreton Bay",Diesel,Unknown
384,6-04-2008,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Brisbane River",Diesel,Unknown
385,8-04-2008,Cairns,Unknown,Unknown,Port,"Trawler Base, Smiths Creek, Cairns",Sheen,Unknown
386,12-04-2008,Gladstone,Ship,Commercial,Port,Gladstone Marina,Diesel,50
387,21-04-2008,Gladstone,Ship,Commercial,Port,Gladstone Marina,Sheen,Unknown
388,24-04-2008,Townsville,Land,Land,Port,Townsville Port Berth 1,Diesel,Unknown
389,26-04-2008,Gladstone,Ship,Recreational,Coastal Waters,Pancake Creek,Diesel,300
390,10-05-2008,Brisbane,Ship,Recreational,Coastal Waters,"Kangaroo Island, Southern Moreton Bay",Hydraulic oil,Unknown
391,16-05-2008,Brisbane,Unknown,Unknown,Coastal Waters,Russell Island,Bilge,Unknown
392,17-05-2008,Gladstone,Ship,Trading,GBRMP,Lady Elliott Island,HFO,Unknown
393,25-05-2008,Gladstone,Ship,Commercial,Port,"Gladstone , Boyne Whard",Coke,Unknown
394,28-05-2008,Townsville,Ship,Commercial,Port,"Townsville, Ross Creek",Hydraulic oil,1
395,9-06-2008,Brisbane,Unknown,Unknown,Coastal Waters,"Brisbane River, Teneriffe ferry terminal",Other,Unknown
396,17-06-2008,Gladstone,Land,Unknown,Port,Gladstone Marina,Diesel,77
397,18-06-2008,Brisbane,Unknown,Unknown,Coastal Waters,Cabbage Tree Creek Shornecliffe,Diesel,Unknown
398,18-06-2008,Brisbane,Ship,Commercial,Port,"Tug base, Whyte Island",Diesel,100
399,26-06-2008,Brisbane,Unknown,Unknown,Coastal Waters,"Tlimbah Creek, Toorbul",Diesel,Unknown
400,7-07-2008,Gladstone,Land,N-A,Port,"Boyne Smelter Wharf, Gladstone",Petroleum Coke,Unknown
401,8-07-2008,Gladstone,Land,N-A,Port,"Boyne Smelter Wharf, Gladstone",Petroleum Coke,Unknown
402,16-07-2008,Cairns,Unknown,N-A,Coastal Waters,"Johnston Harbour, Innisfail",Diesel,Unknown
403,20-07-2008,Gladstone,Unknown,N-A,Coastal Waters,"Hervey Bay Boat Harbour, Urangan",Sheen,Unknown
404,30-07-2008,Brisbane,Unknown,,Coastal Waters,"Mooloolaba Marina, Mooloolaba",Diesel,Unknown
405,30-07-2008,Gladstone,Ship,Trading,Port,"Auckland Channel, Gladstone",Hydraulic ,4
406,30-07-2008,Townsville,Unknown,N-A,GBR,15 miles East of Lucinda,Discoloured Water,Unknown
407,6-08-2008,Mackay,Ship,Recreational,Coastal Waters,"Abel Point Marina, Airlie Beach",Diesel ,Unknown
408,8-08-2008,Gladstone,Land,N-A,Port,Fishermans Landing,Lube Oil,1
409,13-08-2008,Mackay,Ship,Commercial,Port,"Berth 1, Mackay Harbour",Diesel,10
410,21-08-2008,Brisbane,Ship,Trading,Port,"Bar Cutting, Brisbane",Soot,Unknown
411,2-09-2008,Townsville,Ship,Commercial,Coastal Waters,"Nelly Bay, Magnetic Island",Diesel,300
412,13-09-2008,Gladstone,Unknown,N-A,Port,"Carlo Creek, Tin Can Bay",Diesel,Unknown
413,15-09-2008,Brisbane,Unknown,N-A,Coastal Waters,Mooloolaba Harbour,Sheen,Unknown
414,9-10-2008,Mackay,Unknown,Unknown,Port,Dalrymple Bay Terminal,Sheen,Unknown
415,13-10-2008,Brisbane,Ship,Tanker,Port,"Caltex Products Wharf, Lytton",HFO,100
416,22-10-2008,Mackay,Ship,Recreational,Coastal Waters,"Pioneer Bay, Airlie Beach",Diesel,Unknown
417,24-10-2008,Mackay,Ship,Commercial,Port,"Mackay Marina, Mackay",Diesel,10
418,9-11-2008,Mackay,Ship,Customs,Port,"Mackay Marina, Mackay",Diesel,Unknown
419,17-11-2008,Gladstone,Ship,Recreational,Coastal Waters,"Hervey Bay Boat Harbour, Urangan",Diesel ,Unknown
420,21-11-2008,Mackay,Land,N-A,Port,Dalrymple Bay Terminal,Hydraulic ,Unknown
421,1-12-2008,Gladstone,Ship,Commercial,Port,"E3 Anchorge, Gladstone",Unknown,Unknown
422,1-12-2008,Mackay,Land,N-A,Port,Dalrymple Bay Terminal,Hydraulic ,5
423,10-12-2008,Townsville,Unknown,N-A,Port,"Ross Creek, Townsville",Diesel,Unknown
424,17-12-2008,Brisbane,Ship,Recreational,Coastal Waters,Raby Bay Marina,Diesel,Unknown
425,27-12-2008,Brisbane,Ship,Commercial,Coastal Waters,"Flinders Reef, Moreton Island, SEQ",Diesel,Unknown
426,5-01-2009,Gladstone,Unknown,N-A,Port,"Auckland Creek, Gladstone",Sheen,Unknown
427,5-01-2009,Gladstone,Unknown,N-A,Port,"Town Reach, Burnett River, Bundaberg",Diesel,Unknown
428,26-01-2009,Gold Coast,Ship,Commercial,Coastal Waters,Marina Mirage,Diesel ,Unknown
429,29-01-2009,Cairns,Ship,Trading,Port,Wharf 7-8 Cairns,Sheen,Unknown
430,29-01-2009,Townsville,Land,N-A,Port,Ross Haven slipway Ross River Townsville,Diesel ,50
431,31-01-2009,Brisbane,Ship,Recreational,Port,Dockside Marina Kangaroo Point Brisbane river,Bilge,Unknown
432,1-02-2009,Gladstone,Ship,Commercial,Port,Emperor Street slipway Tin Can Bay,Diesel,Unknown
433,1-02-2009,Gladstone,Ship,Commercial,Port,Burnett River Bundaberg,Diesel,Unknown
